"122p -- Kuluttajahintaindeksin vuosimuutos, kuukausitiedot, 1980M01-2023M02"

"Kuukausi","Vuosimuutos (%)"
"2005M01",0.2
"2005M02",0.2
"2005M03",1.0
"2005M04",1.2
"2005M05",0.8
"2005M06",1.1
"2005M07",1.0
"2005M08",1.0
"2005M09",1.2
"2005M10",0.8
"2005M11",0.9
"2005M12",1.0
"2006M01",0.8
"2006M02",0.9
"2006M03",0.9
"2006M04",1.3
"2006M05",1.7
"2006M06",1.7
"2006M07",1.9
"2006M08",1.9
"2006M09",1.5
"2006M10",1.8
"2006M11",2.1
"2006M12",2.2
"2007M01",2.3
"2007M02",2.2
"2007M03",2.6
"2007M04",2.6
"2007M05",2.4
"2007M06",2.4
"2007M07",2.6
"2007M08",2.3
"2007M09",2.6
"2007M10",2.7
"2007M11",2.9
"2007M12",2.6
"2008M01",3.8
"2008M02",3.7
"2008M03",3.9
"2008M04",3.5
"2008M05",4.2
"2008M06",4.4
"2008M07",4.4
"2008M08",4.7
"2008M09",4.7
"2008M10",4.4
"2008M11",3.6
"2008M12",3.5
"2009M01",2.2
"2009M02",1.7
"2009M03",0.9
"2009M04",0.8
"2009M05",0.0
"2009M06",-0.1
"2009M07",-0.6
"2009M08",-0.7
"2009M09",-1.0
"2009M10",-1.5
"2009M11",-0.9
"2009M12",-0.5
"2010M01",-0.2
"2010M02",0.1
"2010M03",0.6
"2010M04",0.9
"2010M05",1.0
"2010M06",0.9
"2010M07",1.1
"2010M08",1.2
"2010M09",1.4
"2010M10",2.3
"2010M11",2.5
"2010M12",2.9
"2011M01",3.0
"2011M02",3.3
"2011M03",3.3
"2011M04",3.2
"2011M05",3.3
"2011M06",3.5
"2011M07",4.0
"2011M08",3.8
"2011M09",3.7
"2011M10",3.5
"2011M11",3.4
"2011M12",2.9
"2012M01",3.2
"2012M02",3.1
"2012M03",2.9
"2012M04",3.1
"2012M05",3.1
"2012M06",2.8
"2012M07",2.9
"2012M08",2.7
"2012M09",2.7
"2012M10",2.6
"2012M11",2.2
"2012M12",2.4
"2013M01",1.6
"2013M02",1.7
"2013M03",1.7
"2013M04",1.5
"2013M05",1.6
"2013M06",1.4
"2013M07",1.6
"2013M08",1.2
"2013M09",1.2
"2013M10",1.2
"2013M11",1.4
"2013M12",1.6
"2014M01",1.6
"2014M02",1.3
"2014M03",1.1
"2014M04",1.1
"2014M05",0.8
"2014M06",0.9
"2014M07",0.8
"2014M08",1.1
"2014M09",1.3
"2014M10",1.0
"2014M11",1.0
"2014M12",0.5
"2015M01",-0.2
"2015M02",-0.1
"2015M03",-0.1
"2015M04",-0.2
"2015M05",0.0
"2015M06",-0.1
"2015M07",-0.2
"2015M08",-0.2
"2015M09",-0.6
"2015M10",-0.3
"2015M11",-0.2
"2015M12",-0.2
"2016M01",0.0
"2016M02",-0.1
"2016M03",0.0
"2016M04",0.3
"2016M05",0.3
"2016M06",0.4
"2016M07",0.5
"2016M08",0.4
"2016M09",0.4
"2016M10",0.5
"2016M11",0.7
"2016M12",1.0
"2017M01",0.8
"2017M02",1.2
"2017M03",0.8
"2017M04",0.8
"2017M05",0.7
"2017M06",0.7
"2017M07",0.5
"2017M08",0.7
"2017M09",0.8
"2017M10",0.5
"2017M11",0.8
"2017M12",0.5
"2018M01",0.8
"2018M02",0.6
"2018M03",0.8
"2018M04",0.8
"2018M05",1.0
"2018M06",1.2
"2018M07",1.4
"2018M08",1.3
"2018M09",1.3
"2018M10",1.5
"2018M11",1.3
"2018M12",1.2
"2019M01",1.1
"2019M02",1.3
"2019M03",1.1
"2019M04",1.5
"2019M05",1.2
"2019M06",1.0
"2019M07",0.8
"2019M08",1.1
"2019M09",0.9
"2019M10",0.7
"2019M11",0.7
"2019M12",0.9
"2020M01",1.0
"2020M02",0.8
"2020M03",0.6
"2020M04",-0.3
"2020M05",-0.2
"2020M06",0.0
"2020M07",0.6
"2020M08",0.2
"2020M09",0.2
"2020M10",0.2
"2020M11",0.2
"2020M12",0.2
"2021M01",0.9
"2021M02",0.9
"2021M03",1.3
"2021M04",2.1
"2021M05",2.2
"2021M06",2.0
"2021M07",1.9
"2021M08",2.2
"2021M09",2.5
"2021M10",3.2
"2021M11",3.7
"2021M12",3.5
"2022M01",4.4
"2022M02",4.5
"2022M03",5.8
"2022M04",5.7
"2022M05",7.0
"2022M06",7.8
"2022M07",7.8
"2022M08",7.6
"2022M09",8.1
"2022M10",8.3
"2022M11",9.1
"2022M12",9.1
"2023M01",8.4
"2023M02",8.8
